Month,Day,Version,Shop,Hour,Volume
8,2,plan,KP,20,2366.2
8,2,plan,MP,20,2283.18
8,2,actual,Total,21,4253.34
8,2,actual,KP,21,2398.64
8,2,actual,MP,21,1854.7
8,2,actual,unbalance,21,470.66
8,2,plan,Total,21,4724
8,2,plan,KP,21,2590.86
8,2,plan,MP,21,2133.48
8,2,actual,Total,22,4461.4
8,2,actual,KP,22,2307.87
8,2,actual,MP,22,2153.53
8,2,actual,unbalance,22,262.6
8,2,plan,Total,22,4724
8,2,plan,KP,22,2590.86
8,2,plan,MP,22,2133.48
8,2,actual,Total,23,4791.06
8,2,actual,KP,23,2890.12
8,2,actual,MP,23,1900.93
8,2,actual,unbalance,23,-538.06
8,2,plan,Total,23,4253
8,2,plan,KP,23,2398.64
8,2,plan,MP,23,1854.7
8,2,actual,Total,24,2434.61
8,2,actual,KP,24,1132.53
8,2,actual,MP,24,1302.08
8,2,actual,unbalance,24,2018.73
8,2,plan,Total,24,4453.34
8,2,plan,KP,24,2598.64
8,2,plan,MP,24,1854.7
8,2,actual,Total,25,2193.18
8,2,actual,KP,25,984.91
8,2,actual,MP,25,1208.26
8,2,actual,unbalance,25,104.1
8,2,plan,Total,25,2297.28
8,2,plan,KP,25,1298.64
8,2,plan,MP,25,998.64
8,2,actual,Total,26,2315.4
8,2,actual,KP,26,1174.4
8,2,actual,MP,26,1141
8,2,actual,unbalance,26,119.21
8,2,plan,Total,26,2434.61
8,2,plan,KP,26,1132.53
8,2,plan,MP,26,1302.08
8,2,actual,Total,27,3639.69
8,2,actual,KP,27,2351.22
8,2,actual,MP,27,1288.46
8,2,actual,unbalance,27,-1324.29
8,2,plan,Total,27,2315.4
8,2,plan,KP,27,1174.4
8,2,plan,MP,27,1141
8,2,actual,Total,28,4520.95
8,2,actual,KP,28,2387.02
8,2,actual,MP,28,2133.93
8,2,actual,unbalance,28,-267.61
8,2,plan,Total,28,4253.34
8,2,plan,KP,28,2398.64
8,2,plan,MP,28,1854.7
8,2,actual,Total,29,4332.67
8,2,actual,KP,29,2299.29
8,2,actual,MP,29,2033.38
8,2,actual,unbalance,29,20.66
8,2,plan,Total,29,4353.34
8,2,plan,KP,29,2398.64
8,2,plan,MP,29,1954.7
8,2,actual,Total,30,4685.71
8,2,actual,KP,30,2090.56
8,2,actual,MP,30,2595.15
8,2,actual,unbalance,30,-185.58
8,2,plan,Total,30,4500.13
8,2,plan,KP,30,2366.2
8,2,plan,MP,30,2133.93
8,2,actual,Total,31,2315.4
8,2,actual,KP,31,1174.4
8,2,actual,MP,31,1141
8,2,actual,unbalance,31,2005.5
8,2,plan,Total,31,4320.9
8,2,plan,KP,31,2366.2
8,2,plan,MP,31,1954.7
8,3,actual,Total,1,4500.54
8,3,actual,KP,1,2240.55
8,3,actual,MP,1,2260
8,3,actual,unbalance,1,-207.54
8,3,plan,Total,1,4293
8,3,plan,KP,1,2132.77
8,3,plan,MP,1,2160.52
8,3,actual,Total,2,4675.35
8,3,actual,KP,2,2502.31
8,3,actual,MP,2,2173.03
8,3,actual,unbalance,2,116.65
8,3,plan,Total,2,4792
8,3,plan,KP,2,2631.93
8,3,plan,MP,2,2160.52
8,3,actual,Total,3,4534.23
8,3,actual,KP,3,2376.51
8,3,actual,MP,3,2157.71
8,3,actual,unbalance,3,556.78
8,3,plan,Total,3,5091
8,3,plan,KP,3,2813.74
8,3,plan,MP,3,2277.7
8,3,actual,Total,4,5037.47
8,3,actual,KP,4,2669.32
8,3,actual,MP,4,2368.16
8,3,actual,unbalance,4,-339.47
8,3,plan,Total,4,4698
8,3,plan,KP,4,2537.23
8,3,plan,MP,4,2160.52
8,3,actual,Total,5,4460
8,3,actual,KP,5,2511.32
8,3,actual,MP,5,1948.69
8,3,actual,unbalance,5,33
8,3,plan,Total,5,4493
8,3,plan,KP,5,2631.93
8,3,plan,MP,5,1860.8
8,3,actual,Total,6,4658.81
8,3,actual,KP,6,2495.61
8,3,actual,MP,6,2163.2
8,3,actual,unbalance,6,47.19
8,3,plan,Total,6,4706
8,3,plan,KP,6,2631.93
8,3,plan,MP,6,2073.6
8,3,actual,Total,7,4598.27
8,3,actual,KP,7,2541
8,3,actual,MP,7,2057.27
8,3,actual,unbalance,7,107.73
8,3,plan,Total,7,4706
8,3,plan,KP,7,2631.93
8,3,plan,MP,7,2073.6
8,3,actual,Total,8,5102.1
8,3,actual,KP,8,2558.2
8,3,actual,MP,8,2543.91
8,3,actual,unbalance,8,-692.1
8,3,plan,Total,8,4410
8,3,plan,KP,8,2132.77
8,3,plan,MP,8,2277.7
8,3,actual,Total,9,4864.91
8,3,actual,KP,9,2213.36
8,3,actual,MP,9,2651.55
8,3,actual,unbalance,9,-253.91
8,3,plan,Total,9,4611
8,3,plan,KP,9,2537.2
8,3,plan,MP,9,2073.6
8,3,actual,Total,10,4454.02
8,3,actual,KP,10,2484.24
8,3,actual,MP,10,1969.78
8,3,actual,unbalance,10,-248.02
8,3,plan,Total,10,4206
8,3,plan,KP,10,2132.77
8,3,plan,MP,10,2073.6
8,3,actual,Total,11,4992.07
8,3,actual,KP,11,2532.7
8,3,actual,MP,11,2459.37
8,3,actual,unbalance,11,-998.07
8,3,plan,Total,11,3994
8,3,plan,KP,11,2132.77
8,3,plan,MP,11,1860.8
8,3,actual,Total,12,5027.96
8,3,actual,KP,12,2663.12
8,3,actual,MP,12,2364.84
8,3,actual,unbalance,12,-321.96
8,3,plan,Total,12,4706
8,3,plan,KP,12,2631.93
8,3,plan,MP,12,2073.6
8,3,actual,Total,13,5260.14
8,3,actual,KP,13,2583.47
8,3,actual,MP,13,2676.67
8,3,actual,unbalance,13,-1179.14
8,3,plan,Total,13,4081
8,3,plan,KP,13,2132.77
8,3,plan,MP,13,1948.69
8,3,actual,Total,14,4719.75
8,3,actual,KP,14,2297.34
8,3,actual,MP,14,2422.41
8,3,actual,unbalance,14,277.25
8,3,plan,Total,14,4997
8,3,plan,KP,14,2631.93
8,3,plan,MP,14,2364.84
8,3,actual,Total,15,4650.71
8,3,actual,KP,15,2480
8,3,actual,MP,15,2170.71
8,3,actual,unbalance,15,546.29
8,3,plan,Total,15,5197
8,3,plan,KP,15,2631.93
8,3,plan,MP,15,2564.84
8,3,actual,Total,16,4786.87
8,3,actual,KP,16,2526.97
8,3,actual,MP,16,2259.9
8,3,actual,unbalance,16,-80.86
8,3,plan,Total,16,4706
8,3,plan,KP,16,2631.93
8,3,plan,MP,16,2073.6
8,3,actual,Total,17,4581.89
8,3,actual,KP,17,2617.21
8,3,actual,MP,17,1964.68
8,3,actual,unbalance,17,69.11
8,3,plan,Total,17,4651
8,3,plan,KP,17,2380
8,3,plan,MP,17,2270.71
8,3,actual,Total,18,4402.65
8,3,actual,KP,18,2353.97
8,3,actual,MP,18,2048.68
8,3,actual,unbalance,18,248.35
8,3,plan,Total,18,4651
8,3,plan,KP,18,2380
8,3,plan,MP,18,2270.71
8,3,actual,Total,19,4403.56
8,3,actual,KP,19,2469.86
